 
Homo sapiens
Mus musculus
PREDICTED: Aotus
PREDICTED: Castor
PREDICTED: Cebus
PREDICTED: Ceratotherium
PREDICTED: Cercocebus
PREDICTED: Chinchilla
PREDICTED: Chlorocebus
PREDICTED: Colobus
PREDICTED: Cricetulus
PREDICTED: Equus
PREDICTED: Galeopterus
PREDICTED: Heterocephalus
PREDICTED: Ictidomys
PREDICTED: Macaca
PREDICTED: Mandrillus
PREDICTED: Marmota
PREDICTED: Mesocricetus
PREDICTED: Microcebus
PREDICTED: Microtus
PREDICTED: Mus
PREDICTED: Nannospalax
PREDICTED: Otolemur
PREDICTED: Pan
PREDICTED: Papio
PREDICTED: Peromyscus
PREDICTED: Pongo
PREDICTED: Rattus
PREDICTED: Rhinopithecus
